ABE ABG ACS ACX ANA BKT BBVA BME BTO CRI ELE ENG FCC FER GAM GAS GRF IBE IBLA IBR IDR ITX MAP POP REE REP SAB SAN MTS SYV TEF TL5 TRE OHL
 0.0105092967  0.0008424600  0.0325964781 -0.0257069409  0.0476872964  0.0051546392  0.0012437811 -0.0261920752 -0.0095497954  0.0118577075  0.0082012028 -0.0030792918 -0.0082455337 -0.0184599156 -0.0007727975 -0.0041200706  0.0000000000  0.0056818182  0.0054347826  0.0354609929 -0.0034364261 -0.0023489933 -0.0338983051  0.0000000000 -0.0042761148  0.0022388060 -0.0020325203 -0.0017793594  0.0375847197 -0.0606488011  0.0077628793 -0.0070521862 -0.0218031821  0.0247578041
 0.0147662018 -0.0091819699  0.0106020447  0.0095155709 -0.0106986337  0.0300884956  0.0203045685  0.0261888353  0.0280504909  0.0120000000  0.0155469184  0.0077579519 -0.0004578755  0.0204520990  0.0149019608  0.0095068330  0.0105078809  0.0272373541 -0.0107526882  0.0180505415  0.0041407867 -0.0076590077  0.0488888889  0.0433333333  0.0042944785  0.0090361446  0.0207468880  0.0274223035 -0.0115712546  0.0350364964  0.0114204140  0.0000000000  0.0053317536  0.0197585071
 0.0124584718 -0.0082781457 -0.0015122873  0.0104895105 -0.0006440809  0.0000000000  0.0128534704 -0.0149355058 -0.0097222222 -0.0421455939  0.0215541690  0.0312000000 -0.0108695652  0.0065005417 -0.0169622205  0.0035778175 -0.0017482517  0.0098231827  0.0000000000  0.0492424242  0.0069492703  0.0273691413  0.0321100917 -0.0033222591 -0.0118217642  0.0152905199  0.0062630480  0.0000000000 -0.0272511848 -0.0242165242  0.0043010753  0.0000000000  0.0224106602  0.0000000000
-0.0041356493 -0.0090237900 -0.0007555723 -0.0086655113 -0.0076696919  0.0053380783 -0.0347394541 -0.0212624585 -0.0243902439  0.0829875519 -0.0334429825 -0.0180675570 -0.0659898477 -0.0600814664  0.0093385214 -0.0345423143 -0.0296861747 -0.0249042146 -0.0158730159 -0.0222222222 -0.0157318741  0.0100207326 -0.0267857143  0.0066889632 -0.0048265460 -0.0410557185 -0.0224489796 -0.0420315236 -0.0398179750 -0.0726552180 -0.0176056338 -0.0097765363  0.0104039168 -0.0054585153
-0.0138662316 -0.0263578275 -0.0003776435 -0.0212044105  0.0528936743  0.0311926606  0.0062421973 -0.0220922677 -0.0067294751 -0.0041322314  0.0033003300  0.0055292259 -0.0259579728 -0.0184907546 -0.0265151515  0.0011527378  0.0342105263  0.0019193858 -0.0156250000  0.0305343511 -0.0114942529  0.0455202312  0.0000000000 -0.0099337748  0.0006036825  0.0111193477 -0.0101010101  0.0000000000 -0.0409165303  0.0053120850  0.0035335689 -0.0027855153 -0.0256410256 -0.0097297297
 0.0174273859  0.0321516900  0.0172877449  0.0137575236  0.0463315026  0.0018382353  0.0177890724 -0.0045278137  0.0095108696  0.0041493776  0.0719339623  0.0242718447 -0.0049200492  0.0325077399  0.0161662818  0.0345855695 -0.0273037543  0.0316831683  0.0267379679  0.0115830116  0.0000000000  0.0032620515  0.0228310502  0.0134228188  0.0346658339  0.0029739777  0.0040567951  0.0017543860  0.0373514431  0.0590717300 -0.0014114326  0.0198863636  0.0041916168  0.0323660714
-0.0082304527  0.0219039596 -0.0162509448  0.0818604651  0.0025412961 -0.0215827338  0.0194300518  0.0012953368 -0.0186666667  0.0041666667 -0.0269650029 -0.0143540670 -0.0196945338  0.0363636364  0.0124707716 -0.0350978136 -0.0624000000 -0.0307101727 -0.0105820106 -0.0152091255  0.0095563140  0.0391713748  0.0000000000 -0.0033444816 -0.0332125604  0.0166288738 -0.0060483871  0.0088495575  0.0249419954 -0.0339673913  0.0078236131  0.0114942529 -0.0205278592  0.0228310502
 0.0537727667  0.0790909091  0.0380541389  0.0416666667  0.0611235955  0.0373134328  0.0692520776  0.0460704607  0.0445682451  0.0389610390  0.0921052632  0.0476190476  0.0427493713  0.1000000000  0.0727424749  0.0482509047  0.0162601626  0.0991561181  0.0384615385  0.0778688525  0.0324171952  0.1048689139  0.0330188679  0.0794223827  0.0591621362  0.0584000000  0.0464135021  0.1078431373  0.1735874745  0.0544412607  0.0407105848  0.0529500756  0.0669586984  0.0735294118
-0.0471074380 -0.0299823633 -0.0513583923 -0.0426716141 -0.0660416958 -0.0307414105 -0.0334672021 -0.0276679842 -0.0439414115 -0.0253164557 -0.0500000000 -0.0164338537 -0.0524225576 -0.0750816104 -0.0604870385 -0.0627473149 -0.0120481928 -0.0687622790 -0.0370370370 -0.0651340996 -0.0633663366 -0.0591229444  0.0095238095 -0.0415224913 -0.0197492163 -0.0615615616 -0.0385395538 -0.0267175573 -0.0631377551 -0.0592991914 -0.0315412186 -0.0557142857 -0.0878995434 -0.0577367206
-0.0178571429  0.0170403587  0.0178030303 -0.0027752081  0.0713536201 -0.0212389381 -0.0158102767 -0.0206451613  0.0013333333 -0.0165975104  0.0250152532 -0.0356576862 -0.0011900040  0.0222469410 -0.0192604006 -0.0306849315 -0.0095465394 -0.0135658915 -0.0550000000  0.0357142857  0.0188298588  0.0399022801 -0.0094339623 -0.0034482759 -0.0232700551  0.0113895216  0.0123203285 -0.0168855535  0.0248366013 -0.0376134890 -0.0021459227  0.0204081633  0.0057405281  0.0200235571
 0.0098360656  0.0117967332 -0.0097524381  0.0285442436  0.0397443890 -0.0407470289  0.0013192612 -0.0019317450 -0.0066225166  0.0126050420  0.0167493797  0.0120288693  0.0071913704  0.0351180196  0.0085470085  0.0027472527 -0.0094562648  0.0197628458 -0.0384615385 -0.0039525692  0.0157103825 -0.0036511156 -0.0230414747 -0.0034364261  0.0089589126  0.0076511094 -0.0121703854 -0.0037383178 -0.0461346633 -0.0140664962  0.0115774240  0.0586419753  0.0375223347 -0.0173611111
 0.0269360269  0.0289449113  0.0345362825  0.0835051546  0.0492232216 -0.0150501672  0.0631136045  0.0318936877  0.0244233379  0.0484581498  0.0474333983  0.0187908497  0.0385892116  0.0546448087  0.0897544454  0.0502019619  0.0184590690  0.0541666667  0.0947368421  0.0079681275  0.0244926522  0.0119047619  0.0689655172 -0.0034246575  0.0381654907  0.0259026688  0.0534188034  0.0657370518  0.0348387097  0.0262467192  0.0199261993  0.0502431118  0.0566393958  0.0372148860
-0.0403877221 -0.0411817368 -0.0268126888 -0.0231621349 -0.0691124981 -0.0115702479 -0.0630749014 -0.0066006601 -0.0428571429 -0.0173160173 -0.0102893891 -0.0430023456 -0.0508074045 -0.0485268631 -0.0700787402 -0.0777009047 -0.0326086957 -0.0786948177 -0.0206185567 -0.0308880309 -0.0239071038 -0.0228640193 -0.0601851852 -0.0519480519 -0.0237946149 -0.0590841950 -0.0270270270 -0.0474383302 -0.0887713110  0.0079365079 -0.0230713771  0.0181518152 -0.0485029940 -0.0280046674
